SRCS_LEDB1,SRCS_LEDB1_FLUX,SRCS_LEDB1_SETTLE,SRCS_LEDB1_PRECHARGE_DURATION,SRCS_LEDB1_PRECHARGE_FLUX,WFI_SRCS_LEDB1_CLEANUP,SRCS_LEDB2,SRCS_LEDB2_FLUX,SRCS_LEDB2_SETTLE,SRCS_LEDB2_PRECHARGE_DURATION,SRCS_LEDB2_PRECHARGE_FLUX,WFI_SRCS_LEDB2_CLEANUP,NEXP,VISIT_NUMBER,MA_TABLE,RESULTANTS_PER_EXPOSURE,ACT_TIME
,,,,,,,,,,,,3,1,IM_DIAGNOSTIC,22,204.6
LED14,6.1,YES,30,905.56,YES,,,,,,,3,2,IM_DIAGNOSTIC,22,453.6
,,,,,,LED24,12.9,YES,30,1911.31,,15,3,IM_DIAGNOSTIC,11,760.5
LED14,6.1,YES,30,905.56,YES,LED24,12.9,NO,,,YES,3,3,IM_DIAGNOSTIC,7,314.1
,,,,,,,,,,,,28,4,IM_DIAGNOSTIC,7,607.6
LED14,6.1,YES,30,905.56,YES,,,,,,,3,5,DROP_10_OF_11,15,1783.5
,,,,,,LED24,12.9,YES,30,1911.31,,3,6,DROP_2_OF_3,26,974.4
LED14,6.1,YES,30,905.56,YES,LED24,12.9,NO,,,YES,3,6,DROP_2_OF_3,17,723.3
,,,,,,,,,,,,6,7,DROP_1_OF_2,18,669.6
LED14,27.3,YES,30,2765.55,,,,,,,,3,8,DROP_1_OF_2,18,583.8
LED14,27.3,NO,,,YES,LED24,12.9,YES,30,1911.31,,3,8,DROP_1_OF_2,13,490.8
,,,,,,LED24,12.9,NO,,,,3,8,DROP_1_OF_2,38,706.8
,,,,,,LED24,58,YES,30,2780.82,,3,8,DROP_1_OF_2,9,416.4
LED14,6.1,YES,30,905.56,,LED24,58,NO,,,,3,8,DROP_1_OF_2,8,397.8
LED14,27.3,YES,30,1883.28,YES,LED24,58,NO,,,YES,3,8,DROP_1_OF_2,6,360.6
,,,,,,,,,,,,17,9,IM_DIAGNOSTIC,12,632.4
LED14,6.1,YES,30,905.56,,,,,,,,3,10,IM_DIAGNOSTIC,22,453.6
LED14,123,YES,30,5620.62,,,,,,,,3,10,IM_DIAGNOSTIC,8,323.4
LED14,123,NO,,,YES,LED24,58,YES,30,4659.71,,4,10,IM_DIAGNOSTIC,6,323.4
,,,,,,LED24,58,NO,,,,12,10,IM_DIAGNOSTIC,17,632.4
,,,,,,LED24,261,YES,30,8072.14,,5,10,IM_DIAGNOSTIC,4,311
LED14,27.3,YES,30,2765.55,,LED24,261,NO,,,,5,10,IM_DIAGNOSTIC,4,311
LED14,123,YES,30,3760.63,YES,LED24,261,NO,,,YES,5,10,IM_DIAGNOSTIC,4,311
,,,,,,,,,,,,49,11,IM_DIAGNOSTIC,4,607.6
LED14,27.3,YES,30,2765.55,,,,,,,,3,12,DROP_3_OF_4,9,583.8
